epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4978,0.4487,0.33359,0.88195,0.85186,0.74376,0.80555,0.60727,0.93785,0.96796,1.24047,0.0001875,0.0001875,0.0001875
2,72.0793,0.50908,0.45534,0.90355,0.6469,0.67817,0.69637,0.47282,1.15119,1.17345,1.31728,0.000383664,0.000383664,0.000383664
3,81.5413,0.53027,0.46051,0.92436,0.6953,0.72355,0.71433,0.49933,1.08844,1.23982,1.34845,0.000575868,0.000575868,0.000575868
4,90.2055,0.53678,0.45971,0.92954,0.80239,0.67676,0.75894,0.52963,1.03146,1.11461,1.29674,0.000764111,0.000764111,0.000764111
5,98.9956,0.56759,0.46473,0.94556,0.78763,0.70595,0.78364,0.54609,1.11135,1.07951,1.36783,0.000948395,0.000948395,0.000948395
6,107.377,0.59974,0.50961,0.95355,0.80881,0.70309,0.76982,0.54552,1.07787,1.00326,1.27144,0.00112872,0.00112872,0.00112872
7,116.048,0.61611,0.48875,0.93711,0.82025,0.68576,0.77031,0.53218,0.97898,1.09563,1.19052,0.00117575,0.00117575,0.00117575
8,124.939,0.63554,0.50484,0.94675,0.78381,0.6675,0.7626,0.51192,1.06858,1.2557,1.30706,0.00116337,0.00116337,0.00116337
9,133.17,0.61327,0.51252,0.95618,0.80301,0.61786,0.71293,0.48639,1.1304,1.46152,1.36117,0.001151,0.001151,0.001151
10,142.076,0.62938,0.50107,0.95802,0.71857,0.67136,0.69967,0.49224,1.14277,1.46496,1.3831,0.00113863,0.00113863,0.00113863
11,151.018,0.61144,0.50779,0.96294,0.79741,0.59908,0.69719,0.49482,1.05378,1.36622,1.33941,0.00112625,0.00112625,0.00112625
12,159.304,0.6337,0.52308,0.95614,0.83245,0.65471,0.73712,0.52719,1.02277,1.18858,1.32329,0.00111388,0.00111388,0.00111388
13,168.068,0.60989,0.49358,0.94787,0.74718,0.63019,0.67767,0.4693,0.99963,1.12759,1.31881,0.0011015,0.0011015,0.0011015
14,177.123,0.59765,0.48449,0.9456,0.76925,0.62399,0.68949,0.48329,1.08809,1.25639,1.34656,0.00108913,0.00108913,0.00108913
15,185.373,0.60133,0.48527,0.95726,0.68887,0.67189,0.71254,0.50462,1.13362,1.40292,1.27056,0.00107675,0.00107675,0.00107675
16,194.22,0.61306,0.49649,0.95316,0.74827,0.65592,0.70715,0.49817,1.12907,1.28103,1.30533,0.00106437,0.00106437,0.00106437
17,203.113,0.63287,0.52006,0.95817,0.76644,0.59443,0.72598,0.5069,1.02244,1.14195,1.23495,0.001052,0.001052,0.001052
18,211.35,0.63219,0.50441,0.94311,0.65035,0.64581,0.67263,0.47834,1.04746,1.38447,1.25927,0.00103962,0.00103962,0.00103962
19,220.246,0.59241,0.4851,0.94991,0.82751,0.61441,0.74081,0.49541,1.10416,1.24918,1.33769,0.00102725,0.00102725,0.00102725
20,229.109,0.60148,0.48141,0.94783,0.75975,0.72423,0.76947,0.54129,1.06185,1.15898,1.26565,0.00101488,0.00101488,0.00101488
21,237.408,0.59008,0.47918,0.94567,0.78506,0.67137,0.78048,0.55118,1.11963,1.3344,1.30069,0.0010025,0.0010025,0.0010025
22,246.283,0.60143,0.50741,0.9591,0.80644,0.74309,0.78808,0.55943,1.05301,1.31459,1.24927,0.000990125,0.000990125,0.000990125
23,255.222,0.57972,0.483,0.94385,0.7943,0.73007,0.78697,0.5597,1.03793,1.14862,1.23842,0.00097775,0.00097775,0.00097775
24,263.395,0.59425,0.47447,0.93881,0.79654,0.68639,0.76149,0.53783,1.09847,1.1888,1.29976,0.000965375,0.000965375,0.000965375
25,272.393,0.57523,0.47732,0.94739,0.86098,0.63009,0.76111,0.54113,1.1167,1.16266,1.31436,0.000953,0.000953,0.000953
26,281.213,0.59127,0.46931,0.93204,0.7341,0.71883,0.7904,0.57469,1.05967,0.93661,1.27273,0.000940625,0.000940625,0.000940625
27,289.314,0.64119,0.53708,0.94299,0.80457,0.64338,0.75942,0.54455,1.03766,1.10493,1.22543,0.00092825,0.00092825,0.00092825
28,298.231,0.57486,0.46546,0.94146,0.80394,0.62714,0.74319,0.53317,1.0267,1.08718,1.21456,0.000915875,0.000915875,0.000915875
29,307.134,0.59264,0.48003,0.96349,0.77576,0.68652,0.74157,0.54796,1.0534,1.05726,1.24937,0.0009035,0.0009035,0.0009035
30,315.419,0.57052,0.45525,0.93763,0.78391,0.71188,0.77966,0.58192,0.96503,0.9894,1.17114,0.000891125,0.000891125,0.000891125
31,324.46,0.59393,0.45613,0.94629,0.81219,0.69253,0.77955,0.57296,0.99331,1.02278,1.21897,0.00087875,0.00087875,0.00087875
32,332.944,0.5375,0.41872,0.92339,0.78859,0.68636,0.7462,0.54476,1.06416,1.06963,1.30312,0.000866375,0.000866375,0.000866375
33,341.309,0.56643,0.44315,0.95189,0.77797,0.73517,0.80088,0.57426,1.05205,0.97839,1.27938,0.000854,0.000854,0.000854
34,350.265,0.58703,0.46756,0.9339,0.83288,0.69109,0.79431,0.58297,0.99104,0.99871,1.21175,0.000841625,0.000841625,0.000841625
35,358.876,0.59778,0.44593,0.91221,0.86133,0.66594,0.7963,0.59093,0.9844,0.92571,1.18369,0.00082925,0.00082925,0.00082925
36,367.194,0.53779,0.41533,0.91832,0.78451,0.72961,0.81014,0.58106,1.02888,0.91389,1.22398,0.000816875,0.000816875,0.000816875
37,376.191,0.54625,0.41675,0.93383,0.82002,0.75567,0.80317,0.59768,0.94794,0.92031,1.14503,0.0008045,0.0008045,0.0008045
38,384.668,0.56161,0.4347,0.92332,0.84003,0.64628,0.74649,0.53453,1.0796,1.10036,1.26649,0.000792125,0.000792125,0.000792125
39,393.41,0.57267,0.44431,0.93021,0.69591,0.73139,0.75116,0.53522,1.05495,1.10665,1.2736,0.00077975,0.00077975,0.00077975
40,402.49,0.56041,0.44944,0.93778,0.73319,0.71094,0.76338,0.5492,1.04078,0.99839,1.23393,0.000767375,0.000767375,0.000767375
41,410.928,0.57737,0.45261,0.92639,0.81152,0.66398,0.74798,0.53413,1.04339,1.00376,1.22399,0.000755,0.000755,0.000755
42,419.637,0.56793,0.45766,0.93937,0.83446,0.68569,0.77635,0.57212,0.9876,0.91038,1.19499,0.000742625,0.000742625,0.000742625
43,428.688,0.57351,0.44941,0.935,0.77136,0.75636,0.78117,0.57154,1.03829,0.87273,1.2558,0.00073025,0.00073025,0.00073025
44,436.912,0.54115,0.41766,0.92466,0.81474,0.68567,0.77261,0.56578,1.01505,0.87358,1.25414,0.000717875,0.000717875,0.000717875
45,445.467,0.56301,0.46291,0.93525,0.80594,0.68981,0.78634,0.57671,0.96039,0.86449,1.17106,0.0007055,0.0007055,0.0007055
